"","X","Degree","Centrality","Closeness","Betweenness","Nodo.aislado","Estar.NCG"
"134","CXCL2",0.4375,0.433225139043025,0.980690558010145,0.000306184935701164,0,0
"135","NID2",0.2375,0.21205143398687,0.961117138838658,0,0,0
"136","DMKN",0.3625,0.184938275812748,0.978165986394558,0,0,0
"137","RND3",0.9,0.921369802710966,0.997060655125172,0.0244947948560931,0,0
"138","SLPI",0.4625,0.204225782524269,0.981640257134667,0.0189834660134721,0,0
"139","CXCR4",0.525,0.609207255620099,0.982909066065449,0,0,1
"140","WBP5",0.4625,0.527576710505141,0.980058331289013,0.0448560930802205,0,0
"141","FOSL1",0.8125,0.860743240631392,0.994785106618052,0.0722596448254746,0,0
"142","ODZ2",0.05,0.0598203432457445,0.952939299672968,0,0,0
"143","POPDC3",0.275,0.282965256208646,0.973151308304891,0,0,0
"144","SLC40A1",0,0,0,0,1,0
"145","MAP1B",0.5875,0.47021108530954,0.985455441883396,0.0264084507042254,0,0
"146","PTGR1",0.775,0.802550714760688,0.993488936710258,0.0349050826699326,0,0
"147","COL4A1",0.7625,0.810750884565224,0.989297052154195,0.0243417023882425,0,1
"148","TIMP3",0.2625,0.2733668224011,0.969730109225432,0,0,0
"149","GAL",0,0,0,0,1,0
"150","SGCE",0.1875,0.197388845440178,0.963257636763837,0,0,0
"151","GPX8",1,1,0.999018506966105,0.679883649724434,0,0
"152","TRIM22",0.0125,0.000311932894977178,0.904975294999301,0,0,0
"153","DSG2",0.55,0.332492761853346,0.983544563389524,0,0,0
"154","COL4A2",0.6375,0.734721540902312,0.984499178981938,0,0,1
"155","BCHE",0,0,0,0,1,0
"156","RBP1",0,0,0,0,1,0
"157","MGP",0,0,0,0,1,0
"158","S100A4",0,0,0,0,1,0
"159","LAMB1",0.8375,0.900656559160554,0.993488936710258,0.0685854255970606,0,0
"160","MYB",0.9125,0.962067558000407,0.996735010099332,0.0235762400489896,0,1
"161","GYPC",0.3375,0.101803386796958,0.969730109225432,0,0,0
"162","HTRA1",0.8125,0.862424124713582,0.990905587668593,0,0,1
"163","GPX3",0,0,0,0,1,0
"164","TOX3",0.1375,0.0308604934352114,0.958985053875564,0,0,0
"165","FHL2",0.8625,0.911378388604398,0.995434319984523,0,0,0
"166","QPCT",0,0,0,0,1,0
"167","SDC2",0.3625,0.322231549188592,0.97346338820023,0,0,0
"168","ASS1",0.0625,0.0170377969609668,0.942815002107037,0,0,0
"169","CLDN1",0.6,0.501048741025017,0.986733028944373,0,0,0
"170","ARMCX2",0.2625,0.171056717720462,0.970661045348899,0.000918554807103491,0,0
"171","G0S2",0.025,0.0279182100618945,0.947555555555555,0,0,0
"172","CYP1B1",0.0625,0.0803987105454116,0.960202360876896,0,0,0
"173","IL8",0.3125,0.346916914828422,0.972527680771001,0,0,0
"174","CXCL1",0.2375,0.229092765516325,0.969730109225432,0.0237293325168402,0,0
"175","NT5E",0.8,0.875709315982832,0.991872942408088,0,0,0
"176","FRMD6",0.875,0.919383733876344,0.994785106618052,0.15263319044703,0,0
"177","PMP22",0.65,0.618669430456958,0.988654937025286,0,0,0
